Usera,Chamberí,San Blas-Canillejas,Moncloa-Aravaca,Barajas,Salamanca,Tetuán,Chamartín,Carabanchel,Villaverde,Latina,Hortaleza,Centro,Ciudad Lineal,Vicálvaro,Villa de Vallecas,Retiro,Fuencarral-El Pardo,Moratalaz,Puente de Vallecas,price,baths,rooms,sqft,Independientes
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895000,2,3,101,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250000,4,5,276,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995000,3,3,174,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320000,2,3,140,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3490000,3,5,383,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720000,1,2,73,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698000,2,2,108,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3950000,5,4,291,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,4,3,343,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175000,2,2,118,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560000,2,2,84,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810000,2,3,131,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3950000,5,4,291,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100000,2,3,100,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650000,3,3,200,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695000,3,3,181,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725000,2,5,200,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875000,2,3,101,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799000,2,2,75,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2680000,3,3,199,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2055000,3,2,242,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195000,3,6,213,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550000,3,3,156,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950000,4,5,240,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2650000,2,7,272,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320000,2,3,140,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3950000,5,4,291,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,325000,1,2,76,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,995000,3,3,160,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1970000,4,4,283,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1100000,3,3,160,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3000000,5,4,269,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1100000,3,5,199,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,790000,3,3,137,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1450000,4,4,258,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1160000,3,5,202,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,450000,2,3,105,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,279000,1,2,70,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,339000,2,3,87,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,1,1,75,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,230000,2,3,98,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,265000,2,2,97,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,388000,2,4,144,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,420000,2,3,73,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1900000,4,7,370,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,210000,1,0,51,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1900000,4,6,372,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950000,7,8,660,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485000,2,3,180,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995000,3,3,170,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900000,5,5,284,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7900000,5,4,473,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400000,4,3,125,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2990000,3,4,275,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485000,1,1,48,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4300000,3,10,451,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900000,5,5,284,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1670000,3,4,158,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400000,4,3,125,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879000,2,2,76,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,3,4,173,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320000,2,3,140,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2950000,3,4,350,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1680000,4,3,214,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960000,2,4,150,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780000,1,2,74,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1680000,3,3,214,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,442327,2,0,91,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,999500,3,5,193,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1330000,3,5,238,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1200000,2,3,243,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,780000,2,2,117,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1950000,4,3,175,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,750000,2,4,146,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,529900,1,2,88,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,695000,2,2,141,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2575000,4,4,215,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,993000,2,4,165,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,515000,1,2,78,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1200000,2,4,174,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1200000,2,3,140,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2100000,3,3,315,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,680000,1,2,99,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,550000,2,2,88,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,529900,1,2,88,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,720000,2,2,87,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1575000,2,2,189,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1550000,2,7,272,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,790000,1,1,62,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3600000,4,5,360,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,345000,1,1,55,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,260000,1,1,60,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,690000,2,3,113,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,309000,1,1,45,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1175000,3,4,171,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1575000,2,2,209,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,859000,3,3,115,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,598000,1,3,112,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,520000,3,2,111,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1720000,5,4,221,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2290000,4,3,184,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,890000,3,3,118,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1385000,2,2,166,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1760000,2,3,145,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,859000,2,3,133,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,900000,2,4,173,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1100000,2,2,160,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,859000,3,3,133,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1690000,2,3,133,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,495000,1,1,98,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2600000,4,3,382,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,640000,2,2,100,0
