price,baths,rooms,sqft,address,Pisos,Independientes
132000,1,1,46,"Simancas, Madrid",1,0
530000,1,2,78,"Ibiza, Madrid",1,0
1129000,3,2,98,"Jerónimos, Madrid",1,0
439000,2,2,103,"La Paz, Madrid",1,0
695000,2,4,125,"Retiro, Madrid",1,0
950000,2,4,169,"Trafalgar, Madrid",1,0
2770000,5,4,370,"Nueva España, Madrid",1,0
250000,1,1,45,"Guindalera, Madrid",1,0
1250000,4,5,302,"Legazpi, Madrid",0,1
860000,2,2,195,"Palomas, Madrid",1,0
1490000,3,2,133,"Goya, Madrid",1,0
550000,1,2,97,"Jerónimos, Madrid",1,0
649000,2,2,73,"Goya, Madrid",1,0
442327,2,0,91,"Castilla, Madrid",1,0
485000,1,1,48,"Castellana, Madrid",1,0
1095000,3,4,270,"Ciudad Universitaria, Madrid",1,0
1800000,6,5,440,"Chamartín, Madrid",1,0
345000,2,3,98,"Pinar del Rey, Madrid",1,0
400000,2,3,118,"Acacias, Madrid",1,0
900000,3,3,138,"Barrio de Salamanca, Madrid",1,0
1850000,3,4,297,"Chamartín, Madrid",1,0
960000,2,6,204,"Lavapiés-Embajadores, Madrid",1,0
789000,3,3,107,"Chueca-Justicia, Madrid",1,0
2150000,5,4,400,"Hortaleza, Madrid",0,1
315000,1,1,65,"Goya, Madrid",1,0
1850000,5,5,302,"Hortaleza, Madrid",1,0
995000,2,2,106,"Lista, Madrid",1,0
1490000,3,2,133,"Barrio de Salamanca, Madrid",1,0
1349000,3,3,183,"Argüelles, Madrid",1,0
697000,1,2,122,"Nuevos Ministerios-Ríos Rosas, Madrid",1,0
500000,1,2,96,"Acacias, Madrid",1,0
1750000,3,2,150,"Recoletos, Madrid",1,0
1850000,3,4,297,"Chamartín, Madrid",1,0
890000,2,3,121,"Vallehermoso, Madrid",1,0
375000,1,3,92,"Pacífico, Madrid",1,0
369000,2,2,75,"Cuzco-Castillejos, Madrid",1,0
849000,2,2,83,"Lista, Madrid",1,0
385000,2,3,92,"Valdezarza, Madrid",1,0
1450000,4,5,258,"Ciudad Universitaria, Madrid",1,0
790000,3,3,137,"Bernabéu-Hispanoamérica, Madrid",1,0
1680000,3,3,150,"Barrio de Salamanca, Madrid",1,0
1450000,3,3,223,"Barrio de Salamanca, Madrid",1,0
1710000,4,3,206,"Chamberí, Madrid",1,0
950000,3,3,119,"Malasaña-Universidad, Madrid",1,0
1050000,2,3,133,"Ibiza, Madrid",1,0
1099000,4,4,166,"Malasaña-Universidad, Madrid",1,0
4300000,3,10,451,"Castellana, Madrid",1,0
525000,2,3,104,"Palos de Moguer, Madrid",1,0
610000,2,2,113,"Fuente del Berro, Madrid",1,0
1200000,2,3,140,"Centro, Madrid",1,0
1495000,6,5,481,"Hortaleza, Madrid",0,1
2100000,3,3,315,"Centro, Madrid",1,0
950000,3,3,120,"Cuzco-Castillejos, Madrid",1,0
1349000,3,3,137,"Cuzco-Castillejos, Madrid",1,0
229000,2,3,118,"San Isidro, Madrid",1,0
1950000,3,5,236,"Barrio de Salamanca, Madrid",1,0
1380000,2,4,145,"Barrio de Salamanca, Madrid",1,0
260000,1,0,78,"Opañel, Madrid",1,0
1400000,3,2,138,"Trafalgar, Madrid",1,0
1300000,3,4,257,"Chamberí, Madrid",1,0
2200000,3,4,257,"Barrio de Salamanca, Madrid",1,0
499000,1,3,88,"Malasaña-Universidad, Madrid",1,0
715000,1,2,117,"Barrio de Salamanca, Madrid",1,0
1049000,3,2,115,"Lista, Madrid",1,0
1190000,2,3,135,"Barrio de Salamanca, Madrid",1,0
850000,2,3,131,"Colina, Madrid",1,0
680000,2,3,137,"Hortaleza, Madrid",1,0
535000,3,4,133,"San Blas, Madrid",1,0
410000,1,0,146,"Guindalera, Madrid",1,0
1300000,3,3,179,"Hortaleza, Madrid",1,0
648000,2,4,216,"El Cañaveral, Madrid",1,0
680000,1,2,99,"Centro, Madrid",1,0
550000,2,2,88,"Centro, Madrid",1,0
710000,2,3,127,"Malasaña-Universidad, Madrid",1,0
660000,3,5,202,"Puerta del Ángel, Madrid",1,0
199000,1,1,14,"Chueca-Justicia, Madrid",1,0
850000,3,4,238,"Fuencarral, Madrid",1,0
1097000,3,3,150,"Moncloa, Madrid",1,0
675000,1,2,139,"Lista, Madrid",1,0
2225000,6,5,268,"Nueva España, Madrid",0,1
870000,2,4,169,"Trafalgar, Madrid",1,0
5500000,4,4,299,"Recoletos, Madrid",1,0
3600000,5,5,379,"Goya, Madrid",1,0
1650000,3,4,238,"Almagro, Madrid",1,0
595000,1,3,89,"Nuevos Ministerios-Ríos Rosas, Madrid",1,0
1190000,3,2,110,"Goya, Madrid",1,0
1800000,5,6,276,"Conde Orgaz-Piovera, Madrid",0,1
525000,1,4,131,"Lavapiés-Embajadores, Madrid",1,0
1700000,4,4,232,"Barrio de Salamanca, Madrid",1,0
1038800,3,3,205,"Valdemarín, Madrid",1,0
1800000,4,3,150,"Barrio de Salamanca, Madrid",1,0
529900,1,2,88,"Centro, Madrid",1,0
3900000,5,5,284,"Castellana, Madrid",1,0
958800,4,4,150,"Aravaca, Madrid",1,0
675000,2,2,102,"Tetuán, Madrid",1,0
267000,1,0,39,"Palacio, Madrid",1,0
789000,3,3,100,"Chueca-Justicia, Madrid",1,0
1670000,3,4,158,"Castellana, Madrid",1,0
1175000,2,2,153,"Trafalgar, Madrid",1,0
260000,1,2,66,"Valdeacederas, Madrid",1,0
1980000,3,3,236,"Barrio de Salamanca, Madrid",1,0
2450000,4,5,277,"Barrio de Salamanca, Madrid",1,0
475000,1,1,72,"Hortaleza, Madrid",1,0
319000,1,1,50,"Arapiles, Madrid",1,0
2700000,4,4,304,"Almagro, Madrid",1,0
1660000,3,3,228,"Huertas-Cortes, Madrid",1,0
1920000,3,3,211,"Recoletos, Madrid",1,0
1650000,2,2,137,"Recoletos, Madrid",1,0
5000000,4,3,447,"Recoletos, Madrid",1,0
1300000,3,4,235,"Gaztambide, Madrid",1,0
2390000,4,4,200,"Recoletos, Madrid",1,0
1290000,3,5,166,"Chamartín, Madrid",1,0
510000,1,3,83,"Guindalera, Madrid",1,0
1375000,3,4,247,"Chamartín, Madrid",1,0
2700000,3,3,227,"Jerónimos, Madrid",1,0
795000,2,3,138,"Chamberí, Madrid",1,0
1329000,5,5,442,"Prosperidad, Madrid",1,0
3700000,6,6,430,"Nueva España, Madrid",0,1
3600000,3,5,358,"Palacio, Madrid",1,0
875000,2,3,140,"Valdebebas - Valdefuentes, Madrid",1,0
2100000,5,8,694,"Ciudad Universitaria, Madrid",0,1
1125000,3,4,173,"Ibiza, Madrid",1,0
995000,2,2,125,"Malasaña-Universidad, Madrid",1,0
475000,1,2,75,"Cuatro Caminos, Madrid",1,0
250000,1,1,40,"Chueca-Justicia, Madrid",1,0
1250000,3,4,230,"Tetuán, Madrid",1,0
569000,1,1,46,"Lista, Madrid",1,0
795000,2,4,200,"Malasaña-Universidad, Madrid",1,0
689000,2,3,161,"Almendrales, Madrid",1,0
2290000,3,3,184,"Chueca-Justicia, Madrid",1,0
420000,2,3,73,"Canillas, Madrid",1,0
625000,2,3,125,"Puerta del Ángel, Madrid",1,0
777000,1,2,111,"Palacio, Madrid",1,0
1375000,3,5,197,"Lista, Madrid",1,0
799000,3,6,143,"Chamberí, Madrid",1,0
777000,1,2,111,"Palacio, Madrid",1,0
850000,3,3,151,"Imperial, Madrid",1,0
660000,1,2,107,"Malasaña-Universidad, Madrid",1,0
720000,2,2,87,"Centro, Madrid",1,0
950000,2,2,120,"Almagro, Madrid",1,0
950000,5,6,430,"Moncloa, Madrid",0,1
555000,2,3,110,"Sanchinarro, Madrid",1,0
2500000,6,5,800,"Hortaleza, Madrid",0,1
1230000,4,3,225,"Retiro, Madrid",1,0
1200000,2,2,124,"Jerónimos, Madrid",1,0
317000,1,2,60,"Lavapiés-Embajadores, Madrid",1,0
350000,2,4,116,"Ciudad Lineal, Madrid",1,0
1575000,2,2,189,"Centro, Madrid",1,0
950000,2,4,157,"Chamberí, Madrid",1,0
777000,1,2,111,"Palacio, Madrid",1,0
1690000,4,5,252,"Chamartín, Madrid",1,0
1760000,3,3,145,"Chueca-Justicia, Madrid",1,0
1050000,3,5,265,"Fuencarral, Madrid",1,0
2300000,3,4,242,"Barrio de Salamanca, Madrid",1,0
1550000,2,7,272,"Centro, Madrid",1,0
695000,2,3,120,"Arapiles, Madrid",1,0
1580000,3,3,182,"Barrio de Salamanca, Madrid",1,0
475000,1,1,79,"Valdeacederas, Madrid",1,0
780000,2,2,74,"Barrio de Salamanca, Madrid",1,0
385000,1,3,97,"Imperial, Madrid",1,0
2100000,3,5,392,"Chamartín, Madrid",1,0
515000,2,3,79,"Fuente del Berro, Madrid",1,0
1150000,3,3,152,"Barrio de Salamanca, Madrid",1,0
790000,1,1,62,"Centro, Madrid",1,0
990000,2,3,146,"Retiro, Madrid",1,0
945000,2,3,159,"Chamberí, Madrid",1,0
3600000,4,5,360,"Centro, Madrid",1,0
1705000,3,3,138,"Barrio de Salamanca, Madrid",1,0
450000,2,3,105,"Berruguete, Madrid",1,0
365900,2,3,105,"Concepción, Madrid",1,0
249900,1,2,70,"Quintana, Madrid",1,0
850000,2,3,128,"Chamberí, Madrid",1,0
269900,2,3,85,"Simancas, Madrid",1,0
385000,1,1,56,"Lavapiés-Embajadores, Madrid",1,0
214900,1,2,70,"Pueblo Nuevo, Madrid",1,0
349000,1,1,80,"Valdeacederas, Madrid",1,0
345000,1,1,55,"Centro, Madrid",1,0
290000,1,1,96,"Simancas, Madrid",1,0
480000,2,3,100,"Peñagrande, Madrid",1,0
1530000,2,2,133,"Chamberí, Madrid",1,0
335000,2,2,70,"San Isidro, Madrid",1,0
595000,2,4,123,"Costillares, Madrid",1,0
995000,4,4,240,"Fuencarral, Madrid",1,0
260000,1,1,60,"Centro, Madrid",1,0
770000,2,4,123,"Malasaña-Universidad, Madrid",1,0
535000,2,4,150,"Fuencarral, Madrid",1,0
145000,1,3,54,"Los Ángeles, Madrid",1,0
680000,1,2,92,"Barrio de Salamanca, Madrid",1,0
279000,1,2,70,"Berruguete, Madrid",1,0
1450000,4,5,340,"Moncloa, Madrid",1,0
548000,1,2,75,"Malasaña-Universidad, Madrid",1,0
5900000,4,4,277,"Barrio de Salamanca, Madrid",1,0
179000,1,1,71,"Ensanche de Vallecas - La Gavia, Madrid",1,0
299000,1,1,41,"Chueca-Justicia, Madrid",1,0
339000,2,3,87,"Berruguete, Madrid",1,0
404000,1,1,67,"Chueca-Justicia, Madrid",1,0
285000,2,2,91,"San Isidro, Madrid",1,0
525000,2,2,107,"Conde Orgaz-Piovera, Madrid",1,0
579000,2,3,145,"Pacífico, Madrid",1,0
779000,3,3,176,"Lavapiés-Embajadores, Madrid",1,0
388000,1,1,61,"Valdeacederas, Madrid",1,0
180000,1,2,92,"San Diego, Madrid",1,0
388000,1,1,61,"Valdeacederas, Madrid",1,0
265000,2,2,97,"Butarque, Madrid",1,0
4200000,7,7,875,"Hortaleza, Madrid",0,1
675000,2,3,152,"Fuencarral, Madrid",1,0
690000,2,3,113,"Centro, Madrid",1,0
1129500,2,3,188,"El Viso, Madrid",1,0
388000,2,4,144,"Campamento, Madrid",1,0
799000,4,5,180,"Ciudad Lineal, Madrid",0,1
2575000,4,4,215,"Palacio, Madrid",1,0
550000,2,2,69,"Lista, Madrid",1,0
1150000,3,4,158,"Retiro, Madrid",1,0
1598000,3,3,116,"Recoletos, Madrid",1,0
1200000,2,2,114,"Recoletos, Madrid",1,0
1400000,4,3,125,"Castellana, Madrid",1,0
2200000,3,4,235,"Chamartín, Madrid",1,0
2690000,7,5,745,"Hortaleza, Madrid",0,1
879000,2,2,76,"Castellana, Madrid",1,0
1400000,3,4,173,"Chamartín, Madrid",1,0
999000,5,5,308,"Moncloa, Madrid",0,1
