Usera,Chamberí,San Blas-Canillejas,Moncloa-Aravaca,Barajas,Salamanca,Tetuán,Chamartín,Carabanchel,Villaverde,Latina,Hortaleza,Centro,Ciudad Lineal,Vicálvaro,Villa de Vallecas,Retiro,Fuencarral-El Pardo,Moratalaz,Puente de Vallecas,price,baths,rooms,sqft,size_range,Independientes
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1680000,3,3,150,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450000,3,3,223,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950000,3,5,236,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380000,2,4,145,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200000,3,4,257,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715000,1,2,117,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190000,2,3,135,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700000,4,4,232,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800000,4,3,150,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980000,3,3,236,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2450000,4,5,277,Q4 - Very Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300000,3,4,242,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580000,3,3,182,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780000,2,2,74,Q1 - Small,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150000,3,3,152,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1705000,3,3,138,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680000,1,2,92,Q1 - Small,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5900000,4,4,277,Q4 - Very Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250000,3,4,182,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3950000,5,4,290,Q4 - Very Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899000,2,3,177,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799000,2,2,75,Q1 - Small,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490000,3,3,144,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698000,2,2,108,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170000,2,2,117,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780000,2,2,74,Q1 - Small,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895000,2,3,101,Q1 - Small,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250000,4,5,276,Q4 - Very Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995000,3,3,174,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320000,2,3,140,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3490000,3,5,383,Q4 - Very Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720000,1,2,73,Q1 - Small,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698000,2,2,108,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3950000,5,4,291,Q4 - Very Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,4,3,343,Q4 - Very Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175000,2,2,118,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560000,2,2,84,Q1 - Small,0
